,SouceToDestination_city,ROUTE,#source_cities,#destination_cities,Number_of_Trips,Average_Actual_distance_to_destination,#source_states,#destination_states,destination_states,source_states,source_cities,route_type,destination_cities
494,Thamarassery TO Bengaluru,Thamarassery SultnBthry -- SultnBthry Bengaluru,2,2,14,211.69929200913018,1,2,Kerala Karnataka,Kerala,Thamarassery SultnBthry,FTL,SultnBthry Bengaluru
495,Bahadurgarh TO Bahadurgarh,Bahadurgarh Sonipat -- Sonipat Bahadurgarh,2,2,4,34.75808744472571,1,1,Haryana,Haryana,Bahadurgarh Sonipat,FTL,Sonipat Bahadurgarh
496,Vapi TO Vapi,Vapi Bhilad -- Bhilad Vapi,2,2,2,26.22944651778433,1,1,Gujarat,Gujarat,Vapi Bhilad,Carting,Bhilad Vapi
497,Noida TO Noida,Noida Dadri -- Dadri Noida,2,2,14,22.3857531337316,1,1,Uttar Pradesh,Uttar Pradesh,Noida Dadri,Carting,Dadri Noida
498,Hyderabad TO Gurgaon,Hyderabad Bhopal -- Bhopal Gurgaon,2,2,11,1124.123332092348,2,2,Madhya Pradesh Haryana,Telangana Madhya Pradesh,Hyderabad Bhopal,FTL,Bhopal Gurgaon
499,Trivandrum TO Aluva,Trivandrum Kollam -- Kollam Aluva,2,2,12,152.9258489732949,1,1,Kerala,Kerala,Trivandrum Kollam,FTL,Kollam Aluva
500,FBD TO FBD,FBD Faridabad -- Faridabad FBD,2,2,17,19.548507394443032,1,1,Haryana,Haryana,FBD Faridabad,Carting,Faridabad FBD
501,Allahabad TO Gurgaon,Allahabad Kanpur -- Kanpur Gurgaon,2,2,6,501.9678964497368,1,2,Uttar Pradesh Haryana,Uttar Pradesh,Allahabad Kanpur,FTL,Kanpur Gurgaon
502,Hyderabad TO Kolkata,Hyderabad Bhubaneshwar -- Bhubaneshwar Kolkata,2,2,10,1181.342746544622,2,2,Orissa West Bengal,Telangana Orissa,Hyderabad Bhubaneshwar,FTL,Bhubaneshwar Kolkata
503,Hyd TO Patancheru,Hyd Sangareddy -- Sangareddy Patancheru,2,2,4,38.52971560818595,1,1,Telangana,Telangana,Hyd Sangareddy,Carting,Sangareddy Patancheru
504,Sankari TO Perundurai,Sankari Erode -- Erode Perundurai,2,2,11,23.005805363775096,1,1,Tamil Nadu,Tamil Nadu,Sankari Erode,FTL,Erode Perundurai
505,Delhi TO Hyderabad,Delhi Gurgaon -- Gurgaon Hyderabad,2,2,15,1108.6709047417512,2,2,Haryana Telangana,Delhi Haryana,Delhi Gurgaon,FTL,Gurgaon Hyderabad
506,Hisar TO Fatehabad,Hisar Ratia -- Hisar Ratia Fatehabad,2,3,3,80.5575879467426,1,1,Haryana,Haryana,Hisar Ratia,FTL,Hisar Ratia Fatehabad
507,Mumbai TO Mumbai,Mumbai Bhiwandi -- Bhiwandi Mumbai,2,2,13,21.223104146792462,1,1,Maharashtra,Maharashtra,Mumbai Bhiwandi,Carting,Bhiwandi Mumbai
508,Pune TO Hyderabad,Pune Solapur -- Solapur Hyderabad,2,2,11,425.3357464426314,1,2,Maharashtra Telangana,Maharashtra,Pune Solapur,FTL,Solapur Hyderabad
509,Hyderabad TO Bhiwandi,Hyderabad Pune -- Pune Bhiwandi,2,2,3,614.6622764134349,2,1,Maharashtra,Telangana Maharashtra,Hyderabad Pune,FTL,Pune Bhiwandi
510,PNQ TO PNQ,PNQ Pune -- Pune PNQ,2,2,2,15.534263843537046,1,1,Maharashtra,Maharashtra,PNQ Pune,Carting,Pune PNQ
511,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,19,17.41830825752287,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
512,Bengaluru TO Kolkata,Bengaluru Bhubaneshwar -- Bhubaneshwar Kolkata,2,2,18,1567.5775073229772,2,2,Orissa West Bengal,Karnataka Orissa,Bengaluru Bhubaneshwar,FTL,Bhubaneshwar Kolkata
513,Visakhapatnam TO Visakhapatnam,Visakhapatnam Srikakulam -- Srikakulam Visakhapatnam,2,2,8,193.99435633816577,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Srikakulam,Carting,Srikakulam Visakhapatnam
514,Manapparai TO Madurai,Manapparai Melur -- Melur Madurai,2,2,13,99.37726375215546,1,1,Tamil Nadu,Tamil Nadu,Manapparai Melur,FTL,Melur Madurai
515,Pune TO Ahmedabad,Pune Bhiwandi -- Bhiwandi Ahmedabad,2,2,7,511.77871774354116,1,2,Maharashtra Gujarat,Maharashtra,Pune Bhiwandi,FTL,Bhiwandi Ahmedabad
516,Jaipur TO Ahmedabad,Jaipur Udaipur -- Udaipur Ahmedabad,2,2,9,456.2546307024663,1,2,Rajasthan Gujarat,Rajasthan,Jaipur Udaipur,FTL,Udaipur Ahmedabad
517,Haridwar TO Haridwar,Haridwar Kotdwara -- Kotdwara Haridwar,2,2,18,75.12494454863564,1,1,Uttarakhand,Uttarakhand,Haridwar Kotdwara,FTL,Kotdwara Haridwar
518,MAA TO MAA,MAA Chennai -- Chennai MAA,2,2,1,49.846843959667574,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
519,Hyderabad TO Bhiwandi,Hyderabad Pune -- Pune Bhiwandi,2,2,2,614.9724958089084,2,1,Maharashtra,Telangana Maharashtra,Hyderabad Pune,FTL,Pune Bhiwandi
520,Bhiwandi TO Vijayawada,Bhiwandi Pune -- Pune Vijayawada,2,2,11,796.3832897100924,1,2,Maharashtra Andhra Pradesh,Maharashtra,Bhiwandi Pune,FTL,Pune Vijayawada
521,MAA TO Hyderabad,MAA Nellore -- Nellore Hyderabad,2,2,15,474.09728412338535,2,2,Andhra Pradesh Telangana,Tamil Nadu Andhra Pradesh,MAA Nellore,FTL,Nellore Hyderabad
522,Gurgaon TO Surat,Gurgaon Vadodara -- Vadodara Surat,2,2,9,562.9622832279153,2,1,Gujarat,Haryana Gujarat,Gurgaon Vadodara,FTL,Vadodara Surat
523,Vellore TO Vellore,Vellore Bengaluru -- MAA Bengaluru Vellore,2,3,14,127.21125918466498,2,2,Tamil Nadu Karnataka,Tamil Nadu Karnataka,Vellore Bengaluru,FTL,MAA Bengaluru Vellore
524,Allahabad TO Gurgaon,Allahabad Kanpur -- Kanpur Gurgaon,2,2,4,470.4763071968986,1,2,Uttar Pradesh Haryana,Uttar Pradesh,Allahabad Kanpur,FTL,Kanpur Gurgaon
525,Gurgaon TO GGN,Gurgaon Pataudi -- Pataudi GGN,2,2,2,59.0706784162212,1,1,Haryana,Haryana,Gurgaon Pataudi,Carting,Pataudi GGN
526,GZB TO GZB,GZB Ghaziabad -- Ghaziabad GZB,2,2,5,11.249878439909923,1,1,Uttar Pradesh,Uttar Pradesh,GZB Ghaziabad,Carting,Ghaziabad GZB
527,Fatepur TO CCU,Fatepur Kakdwip -- Kakdwip CCU,2,2,5,86.81522406927903,1,1,West Bengal,West Bengal,Fatepur Kakdwip,Carting,Kakdwip CCU
528,Pune TO Bengaluru,Pune Hubli -- Hubli Bengaluru,2,2,3,631.1648698994778,2,1,Karnataka,Maharashtra Karnataka,Pune Hubli,FTL,Hubli Bengaluru
529,Nanded TO Nanded,Nanded Majalgaon -- Parbhani Nanded,2,2,1,177.78591700171134,1,1,Maharashtra,Maharashtra,Nanded Majalgaon,Carting,Parbhani Nanded
530,Anjar TO Gandhidham,Anjar Bhuj -- Bhuj Nakhatrana Gandhidham,2,3,6,68.02359043897913,1,1,Gujarat,Gujarat,Anjar Bhuj,FTL,Bhuj Nakhatrana Gandhidham
531,Bengaluru TO Bengaluru,Bengaluru Kurnool -- Kurnool Hyderabad Bengaluru,2,3,15,390.8920910626775,2,3,Andhra Pradesh Telangana Karnataka,Karnataka Andhra Pradesh,Bengaluru Kurnool,FTL,Kurnool Hyderabad Bengaluru
532,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,10,40.245169675617475,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
533,Silchar TO Agartala,Silchar Dharmanagr -- Dharmanagr Agartala,2,2,1,183.0235690521354,2,1,Tripura,Assam Tripura,Silchar Dharmanagr,FTL,Dharmanagr Agartala
534,Bengaluru TO Chandigarh,Bengaluru Gurgaon -- Gurgaon Chandigarh,2,2,15,1869.5466504939009,2,2,Haryana Punjab,Karnataka Haryana,Bengaluru Gurgaon,FTL,Gurgaon Chandigarh
535,Mumbai TO Mumbai,Mumbai Jasai -- Jasai Mumbai,2,2,6,22.03999061448963,1,1,Maharashtra,Maharashtra,Mumbai Jasai,Carting,Jasai Mumbai
536,FBD TO FBD,FBD Palwal -- Palwal FBD,2,2,21,59.70126391762618,1,1,Haryana,Haryana,FBD Palwal,Carting,Palwal FBD
537,Hyderabad TO MAA,Hyderabad Ongole -- Ongole MAA,2,2,1,532.7805610211901,2,2,Andhra Pradesh Tamil Nadu,Telangana Andhra Pradesh,Hyderabad Ongole,FTL,Ongole MAA
538,Pune TO Pune,Pune PNQ -- PNQ Pune,2,2,13,12.669999047873349,1,1,Maharashtra,Maharashtra,Pune PNQ,Carting,PNQ Pune
539,MAA TO MAA,MAA Chennai -- Chennai MAA,2,2,11,42.84084210713675,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
540,Kolkata TO Kolkata,Kolkata Baharampur -- Baharampur Kolkata,2,2,6,317.80507919360747,1,1,West Bengal,West Bengal,Kolkata Baharampur,FTL,Baharampur Kolkata
541,Chandigarh TO Bhiwandi,Chandigarh Gurgaon -- Gurgaon Bhiwandi,2,2,20,1170.8179265189488,2,2,Haryana Maharashtra,Punjab Haryana,Chandigarh Gurgaon,FTL,Gurgaon Bhiwandi
542,Bhiwandi TO Guwahati,Bhiwandi Ranchi -- Ranchi Guwahati,2,2,4,1532.5614458658404,2,2,Jharkhand Assam,Maharashtra Jharkhand,Bhiwandi Ranchi,FTL,Ranchi Guwahati
543,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,12,24.77289874962835,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
544,Goa TO Goa,Goa Central -- Central Goa,2,2,4,16.58028021730604,1,1,Goa,Goa,Goa Central,Carting,Central Goa
545,Jairampur TO Jairampur,Jairampur Margherita -- Margherita Jairampur,2,2,12,63.640877082389046,2,2,Assam Arunachal Pradesh,Arunachal Pradesh Assam,Jairampur Margherita,Carting,Margherita Jairampur
546,Attur TO MAA,Attur Villupuram -- Villupuram MAA,2,2,6,218.93804089544503,1,1,Tamil Nadu,Tamil Nadu,Attur Villupuram,FTL,Villupuram MAA
547,FBD TO FBD,FBD Faridabad -- Faridabad FBD,2,2,17,10.336929000742131,1,1,Haryana,Haryana,FBD Faridabad,Carting,Faridabad FBD
548,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,24,22.777751092442987,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
549,Aligarh TO Aligarh,Aligarh Kasganj -- Kasganj Aligarh,2,2,2,87.28140651490504,1,1,Uttar Pradesh,Uttar Pradesh,Aligarh Kasganj,FTL,Kasganj Aligarh
550,Delhi TO Allahabad,Delhi Kanpur -- Kanpur Allahabad,2,2,3,564.4343979486263,2,1,Uttar Pradesh,Delhi Uttar Pradesh,Delhi Kanpur,FTL,Kanpur Allahabad
551,nan TO nan,nan Siwan Barauli -- Siwan Gopalganj nan,2,2,1,170.202293019918,1,1,Bihar nan,nan Bihar,nan Siwan Barauli,Carting,Siwan Gopalganj nan
552,Sonipat TO Rishikesh,Sonipat Haridwar -- Roorkee Rishikesh,2,2,1,148.29342313195372,2,1,Uttarakhand,Haryana Uttarakhand,Sonipat Haridwar,FTL,Roorkee Rishikesh
553,Aluva TO Edappal,Aluva Guruvayoor -- Guruvayoor Edappal,2,2,3,61.96026826446944,1,1,Kerala,Kerala,Aluva Guruvayoor,FTL,Guruvayoor Edappal
554,Surat TO Ahmedabad,Surat Vadodara -- Vadodara Ahmedabad,2,2,8,233.53999657529687,1,1,Gujarat,Gujarat,Surat Vadodara,FTL,Vadodara Ahmedabad
555,Delhi TO Noida,Delhi Noida -- Kanpur Noida,2,2,3,385.60380966896423,2,1,Uttar Pradesh,Delhi Uttar Pradesh,Delhi Noida,FTL,Kanpur Noida
556,Bengaluru TO Delhi,Bengaluru Jaipur -- Jaipur Delhi,2,2,6,1764.9537624695747,2,2,Rajasthan Delhi,Karnataka Rajasthan,Bengaluru Jaipur,FTL,Jaipur Delhi
557,Ahmedabad TO Bhiwandi,Ahmedabad Surat -- Surat Bhiwandi,2,2,4,306.65742559304175,1,2,Gujarat Maharashtra,Gujarat,Ahmedabad Surat,FTL,Surat Bhiwandi
558,Chennai TO Malemruvathur,Chennai Malemruvathur -- Chennai Malemruvathur,2,2,6,134.39803576532003,1,1,Tamil Nadu,Tamil Nadu,Chennai Malemruvathur,Carting,Chennai Malemruvathur
559,Bengaluru TO Mangalore,Bengaluru Hassan -- Hassan Mangalore,2,2,9,252.44299712774247,1,1,Karnataka,Karnataka,Bengaluru Hassan,FTL,Hassan Mangalore
560,Hyd TO Hyderabad,Hyd Ghatkesar -- Ghatkesar Hyderabad,2,2,2,24.065558988977152,1,1,Telangana,Telangana,Hyd Ghatkesar,Carting,Ghatkesar Hyderabad
561,Sonepur TO Dighwara,Sonepur Hajipur -- Dighwara,2,1,4,16.960675791938012,1,1,Bihar,Bihar,Sonepur Hajipur,FTL,Dighwara
562,MAA TO Attur,MAA Villupuram -- Villupuram Attur,2,2,8,176.51553959120128,1,1,Tamil Nadu,Tamil Nadu,MAA Villupuram,FTL,Villupuram Attur
563,Dalkhola TO Lodhan,Dalkhola Islampure -- Islampure Lodhan,2,2,3,32.059204913569225,1,1,West Bengal,West Bengal,Dalkhola Islampure,FTL,Islampure Lodhan
564,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,11,39.88281020108234,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
565,Pune TO Bengaluru,Pune Hubli -- Hubli Bengaluru,2,2,2,745.7677637698098,2,1,Karnataka,Maharashtra Karnataka,Pune Hubli,FTL,Hubli Bengaluru
566,Ambur TO Ambur,Ambur Tiruppattur -- Tiruppattur Ambur,2,2,10,77.3805118699876,1,1,Tamil Nadu,Tamil Nadu,Ambur Tiruppattur,Carting,Tiruppattur Ambur
567,Noida TO Noida,Noida Dadri -- Dadri Noida,2,2,11,26.61316800396878,1,1,Uttar Pradesh,Uttar Pradesh,Noida Dadri,Carting,Dadri Noida
568,Karkala TO Mangalore,Karkala Dhrmsthala -- Dhrmsthala Mangalore,2,2,1,89.13364411783749,1,1,Karnataka,Karnataka,Karkala Dhrmsthala,FTL,Dhrmsthala Mangalore
569,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,13,21.233547411045603,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
570,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,12,24.442603604428097,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
571,Hyderabad TO Bhiwandi,Hyderabad Solapur -- Solapur Bhiwandi,2,2,11,552.9709133138612,2,1,Maharashtra,Telangana Maharashtra,Hyderabad Solapur,FTL,Solapur Bhiwandi
572,Aluva TO Aluva,Aluva Cochin -- Cochin Aluva,2,2,2,31.06267286593001,1,1,Kerala,Kerala,Aluva Cochin,Carting,Cochin Aluva
573,MAA TO MAA,MAA Chennai -- Chennai MAA,2,2,12,33.672733984899914,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
574,Bihta TO Arwal,Bihta Arrah -- Arrah Arwal,2,2,12,48.294643612159774,1,1,Bihar,Bihar,Bihta Arrah,FTL,Arrah Arwal
575,Dehradun TO Dehradun,Dehradun Mussoorie -- Mussoorie Dehradun,2,2,16,38.67327105574277,1,1,Uttarakhand,Uttarakhand,Dehradun Mussoorie,FTL,Mussoorie Dehradun
576,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,16,38.68937778807034,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
577,Chhapra TO Gopalganj,Chhapra Siwan -- Siwan Gopalganj,2,2,9,77.16197641885856,1,1,Bihar,Bihar,Chhapra Siwan,FTL,Siwan Gopalganj
578,Gurgaon TO Varanasi,Gurgaon Kanpur -- Kanpur Varanasi,2,2,6,684.3549519403837,2,1,Uttar Pradesh,Haryana Uttar Pradesh,Gurgaon Kanpur,FTL,Kanpur Varanasi
579,Bengaluru TO Chandigarh,Bengaluru Gurgaon -- Gurgaon Chandigarh,2,2,5,1599.5121147688642,2,2,Haryana Punjab,Karnataka Haryana,Bengaluru Gurgaon,FTL,Gurgaon Chandigarh
580,Kolkata TO Kolkata,Kolkata Berhampore -- Berhampore Kolkata,2,2,4,278.1732081849123,1,1,West Bengal,West Bengal,Kolkata Berhampore,FTL,Berhampore Kolkata
581,Mehsana TO Ahmedabad,Mehsana Kadi -- Kadi Ahmedabad,2,2,8,84.37456696081665,1,1,Gujarat,Gujarat,Mehsana Kadi,FTL,Kadi Ahmedabad
582,Rishikesh TO Rishikesh,Rishikesh Pauri -- SrinagarUK Rishikesh,2,2,5,80.44937662400636,1,1,Uttarakhand,Uttarakhand,Rishikesh Pauri,FTL,SrinagarUK Rishikesh
583,Bengaluru TO Bengaluru,Bengaluru Anantapur -- Anantapur Hyderabad Bengaluru,2,3,20,382.5941084694477,2,3,Andhra Pradesh Telangana Karnataka,Karnataka Andhra Pradesh,Bengaluru Anantapur,FTL,Anantapur Hyderabad Bengaluru
584,Wardha TO Yavatmal,Wardha Deoli -- Deoli Yavatmal,2,2,13,48.62286665501511,1,1,Maharashtra,Maharashtra,Wardha Deoli,FTL,Deoli Yavatmal
585,Kolhapur TO Ahmedabad,Kolhapur Surat -- Surat Ahmedabad,2,2,1,697.7821358717017,2,1,Gujarat,Maharashtra Gujarat,Kolhapur Surat,FTL,Surat Ahmedabad
586,Bengaluru TO Gurgaon,Bengaluru Bhopal -- Bhopal Gurgaon,2,2,15,1579.3668838269311,2,2,Madhya Pradesh Haryana,Karnataka Madhya Pradesh,Bengaluru Bhopal,FTL,Bhopal Gurgaon
587,Vizag TO Visakhapatnam,Vizag Chodavaram -- Chodavaram Visakhapatnam,2,2,4,60.554644937524856,1,1,Andhra Pradesh,Andhra Pradesh,Vizag Chodavaram,Carting,Chodavaram Visakhapatnam
588,Delhi TO Kolkata,Delhi Gurgaon -- Gurgaon Kolkata,2,2,18,1263.1132114856546,2,2,Haryana West Bengal,Delhi Haryana,Delhi Gurgaon,FTL,Gurgaon Kolkata
589,Airport TO Chennai,Airport Chennai -- Chennai,2,1,11,23.533687373174306,1,1,Tamil Nadu,Tamil Nadu,Airport Chennai,Carting,Chennai
590,Hyderabad TO MAA,Hyderabad Ongole -- Ongole MAA,2,2,6,533.3156515679929,2,2,Andhra Pradesh Tamil Nadu,Telangana Andhra Pradesh,Hyderabad Ongole,FTL,Ongole MAA
591,Hyderabad TO Shamshabad,Hyderabad Patancheru -- Patancheru Shamshabad,2,2,8,45.447358506027726,1,1,Telangana,Telangana,Hyderabad Patancheru,Carting,Patancheru Shamshabad
592,Banka TO Kahalgaon,Banka Bhagalpur -- Bhagalpur Kahalgaon,2,2,11,62.390172445589094,1,1,Bihar,Bihar,Banka Bhagalpur,FTL,Bhagalpur Kahalgaon
593,Bhatinda TO Bhatinda,Bhatinda RampuraPhul -- RampuraPhul Bhatinda,2,2,5,36.43278621711204,1,1,Punjab,Punjab,Bhatinda RampuraPhul,FTL,RampuraPhul Bhatinda
594,Hyderabad TO Hyderabad,Hyderabad Hyd -- Hyd Hyderabad,2,2,2,15.01921705139824,1,1,Telangana,Telangana,Hyderabad Hyd,Carting,Hyd Hyderabad
595,Ahmedabad TO Lunawada,Ahmedabad Kapadvanj -- Kapadvanj Lunawada,2,2,1,103.17051591142965,1,1,Gujarat,Gujarat,Ahmedabad Kapadvanj,Carting,Kapadvanj Lunawada
596,Barh TO Sheikhpura,Barh Sheikhpura -- Bakhtiarpur Sheikhpura,2,2,4,53.0119851274648,1,1,Bihar,Bihar,Barh Sheikhpura,FTL,Bakhtiarpur Sheikhpura
597,Visakhapatnam TO Vishakhapatnam,Visakhapatnam Vizag -- Vishakhapatnam,2,1,1,20.975222333351937,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Vizag,Carting,Vishakhapatnam
598,Bhatpara TO Kawardha,Bhatpara Mungeli -- Mungeli Kawardha,2,2,14,72.89416394236072,1,1,Chhattisgarh,Chhattisgarh,Bhatpara Mungeli,Carting,Mungeli Kawardha
599,Margherita TO Margherita,Margherita Changlang -- Changlang Margherita,2,2,9,25.62560518116621,2,2,Arunachal Pradesh Assam,Assam Arunachal Pradesh,Margherita Changlang,Carting,Changlang Margherita
600,Delhi TO Delhi,Delhi OK -- OK Delhi,2,2,9,27.548383023089073,1,1,Delhi,Delhi,Delhi OK,Carting,OK Delhi
601,Delhi TO Delhi,Delhi Janakpuri -- Janakpuri Delhi,2,2,16,19.02638806202009,1,1,Delhi,Delhi,Delhi Janakpuri,Carting,Janakpuri Delhi
602,Guwahati TO Bhiwandi,Guwahati Kolkata -- Kolkata Bhiwandi,2,2,5,2157.968311797658,2,2,West Bengal Maharashtra,Assam West Bengal,Guwahati Kolkata,FTL,Kolkata Bhiwandi
603,Banka TO Kahalgaon,Banka Bhagalpur -- Bhagalpur Kahalgaon,2,2,8,58.30791615850217,1,1,Bihar,Bihar,Banka Bhagalpur,FTL,Bhagalpur Kahalgaon
604,Hyderabad TO Bhiwandi,Hyderabad Pune -- Pune Bhiwandi,2,2,3,615.3820008183333,2,1,Maharashtra,Telangana Maharashtra,Hyderabad Pune,FTL,Pune Bhiwandi
605,Surat TO Surat,Surat Kolhapur -- Ahmedabad Surat,2,2,2,459.42021832957556,2,1,Gujarat,Gujarat Maharashtra,Surat Kolhapur,FTL,Ahmedabad Surat
606,Amravati TO Bhiwandi,Amravati Akola -- Akola Bhiwandi,2,2,22,483.6682010731376,1,1,Maharashtra,Maharashtra,Amravati Akola,FTL,Akola Bhiwandi
607,Ahmedabad TO Pune,Ahmedabad Surat -- Surat Pune,2,2,4,442.48737118252876,1,2,Gujarat Maharashtra,Gujarat,Ahmedabad Surat,FTL,Surat Pune
608,Bhiwandi TO Bhiwandi,Bhiwandi Lonavala -- Lonavala Bhiwandi,2,2,11,123.61133444742318,1,1,Maharashtra,Maharashtra,Bhiwandi Lonavala,FTL,Lonavala Bhiwandi
609,Guwahati TO Guwahati,Guwahati Chhaygaon -- Chhaygaon Guwahati,2,2,9,42.2307380196119,1,1,Assam,Assam,Guwahati Chhaygaon,Carting,Chhaygaon Guwahati
610,Bhiwandi TO MAA,Bhiwandi Bengaluru -- Bengaluru MAA,2,2,6,1052.88463836808,2,2,Karnataka Tamil Nadu,Maharashtra Karnataka,Bhiwandi Bengaluru,FTL,Bengaluru MAA
611,Hyderabad TO MAA,Hyderabad Ongole -- Ongole MAA,2,2,5,478.4248845214761,2,2,Andhra Pradesh Tamil Nadu,Telangana Andhra Pradesh,Hyderabad Ongole,FTL,Ongole MAA
612,Bhubaneshwar TO Tangi,Bhubaneshwar Balugaon -- Berhampur Tangi,2,2,2,170.52424392781288,1,1,Orissa,Orissa,Bhubaneshwar Balugaon,FTL,Berhampur Tangi
613,Faizabad TO Akbarpur,Faizabad Gosainganj -- Gosainganj Akbarpur,2,2,16,45.024980627081135,1,1,Uttar Pradesh,Uttar Pradesh,Faizabad Gosainganj,Carting,Gosainganj Akbarpur
614,Jasai TO Jasai,Jasai Mumbai -- Mumbai Jasai,2,2,14,32.36719978082075,1,1,Maharashtra,Maharashtra,Jasai Mumbai,Carting,Mumbai Jasai
615,Dhule TO Kannad,Dhule Chalisgaon -- Chalisgaon Kannad,2,2,2,62.28449118802152,1,1,Maharashtra,Maharashtra,Dhule Chalisgaon,Carting,Chalisgaon Kannad
616,Bhiwandi TO MAA,Bhiwandi Bengaluru -- Bengaluru MAA,2,2,9,1097.5587075109308,2,2,Karnataka Tamil Nadu,Maharashtra Karnataka,Bhiwandi Bengaluru,FTL,Bengaluru MAA
617,Visakhapatnam TO Visakhapatnam,Visakhapatnam Srikakulam -- Srikakulam Visakhapatnam,2,2,16,180.63138944319533,1,1,Andhra Pradesh,Andhra Pradesh,Visakhapatnam Srikakulam,Carting,Srikakulam Visakhapatnam
618,Salem TO Mettur,Salem Tirchngode -- Tirchngode Mettur,2,2,17,83.23061756998041,1,1,Tamil Nadu,Tamil Nadu,Salem Tirchngode,Carting,Tirchngode Mettur
619,Delhi TO Gurgaon,Delhi Agra -- Agra Gurgaon,2,2,2,329.9591254050313,2,2,Uttar Pradesh Haryana,Delhi Uttar Pradesh,Delhi Agra,FTL,Agra Gurgaon
620,MAA TO MAA,MAA Chennai -- Chennai MAA,2,2,13,74.66537193333066,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
621,Bengaluru TO Bhiwandi,Bengaluru Hubli -- Hubli Bhiwandi,2,2,2,841.7842824106006,1,2,Karnataka Maharashtra,Karnataka,Bengaluru Hubli,FTL,Hubli Bhiwandi
622,MAA TO MAA,MAA Chennai -- Chennai MAA,2,2,15,36.622346361755326,1,1,Tamil Nadu,Tamil Nadu,MAA Chennai,Carting,Chennai MAA
623,HBR TO HBR,HBR Bengaluru -- Bengaluru HBR,2,2,17,21.028436052579917,1,1,Karnataka,Karnataka,HBR Bengaluru,Carting,Bengaluru HBR
624,Kolkata TO Bengaluru,Kolkata Bhubaneshwar -- Bhubaneshwar Bengaluru,2,2,16,1342.1430812668066,2,2,Orissa Karnataka,West Bengal Orissa,Kolkata Bhubaneshwar,FTL,Bhubaneshwar Bengaluru
625,Bhiwandi TO Bhiwandi,Bhiwandi Mumbai -- Mumbai Bhiwandi,2,2,14,24.119573518437612,1,1,Maharashtra,Maharashtra,Bhiwandi Mumbai,Carting,Mumbai Bhiwandi
626,Pune TO Ahmedabad,Pune Bhiwandi -- Bhiwandi Ahmedabad,2,2,3,478.1779322377309,1,2,Maharashtra Gujarat,Maharashtra,Pune Bhiwandi,FTL,Bhiwandi Ahmedabad
627,Bhopal TO Gurgaon,Bhopal Kanpur -- Kanpur Gurgaon,2,2,7,761.2930912138571,2,2,Uttar Pradesh Haryana,Madhya Pradesh Uttar Pradesh,Bhopal Kanpur,FTL,Kanpur Gurgaon
628,Kanpur TO Delhi,Kanpur Agra -- Agra Delhi,2,2,7,393.9388832037027,1,2,Uttar Pradesh Delhi,Uttar Pradesh,Kanpur Agra,FTL,Agra Delhi
629,Chandigarh TO Bengaluru,Chandigarh Gurgaon -- Gurgaon Bengaluru,2,2,22,1905.7660507664164,2,2,Haryana Karnataka,Punjab Haryana,Chandigarh Gurgaon,FTL,Gurgaon Bengaluru
630,Hisar TO Sidhmukh,Hisar Bhadra -- Rawatsar Nohar Sidhmukh,2,3,3,127.6447994321976,2,1,Rajasthan,Haryana Rajasthan,Hisar Bhadra,FTL,Rawatsar Nohar Sidhmukh
631,Durgapur TO Durgapur,Durgapur Kolkata -- Kolkata Durgapur,2,2,12,193.98847325694737,1,1,West Bengal,West Bengal,Durgapur Kolkata,FTL,Kolkata Durgapur
